,brand_id,rating,reviews,size,price_usd,limited_edition,new,online_only,out_of_stock,sephora_exclusive,primary_category,secondary_category,child_count,primary_category_label,secondary_category_label,rating_clusters
0,6342,3.6364,11.0,0,35.0,0,0,1,0,0,Fragrance,Value & Gift Sets,0.0,1,38,2
1,6342,4.1538,13.0,4,195.0,0,0,1,0,0,Fragrance,Women,2.0,1,40,4
2,6342,4.25,16.0,4,195.0,0,0,1,0,0,Fragrance,Women,2.0,1,40,4
3,6342,4.4762,21.0,4,195.0,0,0,1,0,0,Fragrance,Women,2.0,1,40,4
4,6342,3.2308,13.0,4,195.0,0,0,1,0,0,Fragrance,Women,2.0,1,40,2
5,6342,4.4762,21.0,5,30.0,0,0,1,0,0,Fragrance,Women,0.0,1,40,4
6,6342,3.2308,13.0,5,30.0,0,0,1,0,0,Fragrance,Women,0.0,1,40,2
7,6342,3.625,8.0,4,195.0,0,0,1,0,0,Fragrance,Women,2.0,1,40,2
8,6342,3.5714,7.0,4,195.0,0,0,1,0,0,Fragrance,Women,2.0,1,40,2
9,6342,3.625,8.0,5,30.0,0,0,1,0,0,Fragrance,Women,0.0,1,40,2
10,6342,4.25,16.0,5,30.0,0,0,1,0,0,Fragrance,Women,0.0,1,40,4
11,6342,3.5714,7.0,5,30.0,0,0,1,0,0,Fragrance,Women,0.0,1,40,2
12,6342,3.0,4.0,4,195.0,0,0,1,0,0,Fragrance,Women,2.0,1,40,2
13,6342,3.0,4.0,5,30.0,0,0,1,0,0,Fragrance,Women,0.0,1,40,2
14,6471,4.3256,258.0,5,38.0,0,0,1,0,0,Bath & Body,Body Moisturizers,10.0,0,7,4
15,6471,3.561,41.0,0,29.0,0,0,1,1,1,Bath & Body,Value & Gift Sets,0.0,0,38,2
16,6471,4.2273,22.0,0,80.0,0,0,1,0,0,Bath & Body,Value & Gift Sets,0.0,0,38,4
17,6471,4.5175,143.0,5,12.0,0,1,1,1,0,Bath & Body,Body Moisturizers,2.0,0,7,4
18,6485,4.8163,49.0,0,26.0,0,0,0,1,0,Fragrance,Value & Gift Sets,0.0,1,38,5
19,6485,4.6111,18.0,5,84.0,0,0,1,0,0,Fragrance,Women,1.0,1,40,5
20,6485,4.7778,9.0,5,29.0,0,0,0,0,0,Fragrance,Women,0.0,1,40,5
21,6485,4.5882,17.0,5,84.0,0,0,0,0,0,Fragrance,Women,1.0,1,40,5
22,6485,4.1667,6.0,5,29.0,0,0,0,0,0,Fragrance,Women,0.0,1,40,4
23,6485,4.619,21.0,5,84.0,0,0,0,0,0,Fragrance,Women,1.0,1,40,5
24,6485,4.7143,7.0,5,29.0,0,0,1,0,0,Fragrance,Women,0.0,1,40,5
25,6485,3.8333,6.0,5,29.0,0,0,1,1,0,Fragrance,Women,0.0,1,40,3
26,6485,4.25,4.0,5,28.0,0,0,0,0,0,Fragrance,Women,1.0,1,40,4
27,6485,4.625,8.0,5,84.0,0,0,0,0,0,Fragrance,Women,2.0,1,40,5
28,6485,3.7143,7.0,5,29.0,0,0,1,0,0,Fragrance,Women,0.0,1,40,3
29,6485,4.1111,9.0,5,84.0,0,0,1,0,0,Fragrance,Women,1.0,1,40,3
30,6485,4.0909,11.0,5,84.0,0,0,1,0,0,Fragrance,Women,1.0,1,40,3
31,5847,3.3333,12.0,5,77.0,0,0,1,0,0,Mini Size,Fragrance,0.0,6,15,2
32,5847,4.4359,39.0,2,84.0,0,0,1,0,0,Fragrance,Women,1.0,1,40,4
33,5847,3.9459,37.0,5,84.0,0,0,1,0,0,Fragrance,Women,0.0,1,40,3
34,5847,4.2125,80.0,4,181.0,0,0,1,0,0,Fragrance,Men,0.0,1,25,4
35,5847,4.2791,43.0,5,210.0,0,0,1,1,0,Fragrance,Women,0.0,1,40,4
36,5847,4.6667,6.0,5,135.0,0,0,1,0,0,Fragrance,Women,0.0,1,40,5
37,5847,4.2632,19.0,4,295.0,0,0,1,0,0,Fragrance,Men,0.0,1,25,4
38,5847,4.5333,15.0,3,130.0,0,0,1,0,0,Fragrance,Men,1.0,1,25,5
39,5847,4.625,8.0,5,112.0,0,0,1,0,0,Fragrance,Candles & Home Scents,0.0,1,9,5
40,5847,3.2,10.0,5,55.0,0,0,1,0,0,Bath & Body,Body Care,0.0,0,6,2
41,5847,4.5714,7.0,3,130.0,0,0,1,0,0,Fragrance,Women,1.0,1,40,5
43,5847,4.0,2.0,5,82.0,0,0,1,0,0,Fragrance,Candles & Home Scents,0.0,1,9,3
44,5847,5.0,1.0,5,112.0,0,0,1,0,0,Fragrance,Candles & Home Scents,0.0,1,9,5
45,5847,2.6667,3.0,5,112.0,0,0,1,0,0,Fragrance,Candles & Home Scents,0.0,1,9,1
46,6321,4.5273,311.0,5,39.0,0,0,0,0,1,Hair,Hair Styling & Treatments,1.0,3,17,4
47,6321,4.7581,492.0,5,40.0,0,0,0,0,1,Hair,Hair Styling & Treatments,0.0,3,17,5
48,6321,4.3472,144.0,5,26.0,0,0,0,0,1,Hair,Hair Styling & Treatments,1.0,3,17,4
49,6321,4.5762,210.0,5,26.0,0,0,0,0,0,Hair,Hair Styling & Treatments,0.0,3,17,5
50,6321,4.1324,136.0,5,24.0,0,0,0,0,1,Hair,Shampoo & Conditioner,1.0,3,31,3
51,6321,4.3109,193.0,5,25.0,0,0,0,0,0,Hair,Shampoo & Conditioner,0.0,3,31,4
52,6321,4.3826,1265.0,5,24.0,0,0,0,0,1,Hair,Hair Styling & Treatments,0.0,3,17,4
53,6321,4.5359,237.0,5,24.0,0,0,0,0,1,Hair,Hair Styling & Treatments,1.0,3,17,5
54,6321,4.5635,252.0,5,32.0,0,0,0,0,1,Hair,Hair Styling & Treatments,1.0,3,17,5
55,6321,4.6465,215.0,5,36.0,0,0,0,0,1,Hair,Hair Styling & Treatments,0.0,3,17,5
56,6321,4.4188,234.0,5,32.0,0,0,0,0,1,Hair,Hair Styling & Treatments,1.0,3,17,4
57,6321,4.3495,186.0,5,25.0,0,0,0,0,1,Hair,Shampoo & Conditioner,0.0,3,31,4
58,6321,4.2,5.0,5,15.0,0,0,1,0,1,Hair,Mini Size,0.0,3,26,4
59,6321,4.7283,173.0,0,56.0,0,0,1,1,1,Hair,Value & Gift Sets,0.0,3,38,5
65,7054,4.26,527.0,5,35.0,0,0,1,0,0,Makeup,Lip,0.0,4,20,4
66,7054,4.2158,139.0,3,145.0,0,0,1,0,0,Fragrance,Women,2.0,1,40,4
67,7054,4.2,50.0,5,35.0,0,0,1,0,0,Fragrance,Women,0.0,1,40,4
68,7054,4.3833,120.0,3,145.0,0,0,1,0,0,Fragrance,Women,2.0,1,40,4
69,7054,4.1875,48.0,5,35.0,0,0,1,0,0,Mini Size,Fragrance,0.0,6,15,4
70,7054,4.3333,60.0,3,145.0,0,0,1,0,0,Fragrance,Women,2.0,1,40,4
